Province,District,Constituency,Winner,Candidate,Votes,Margin,Wikipedia
2,Rautahat,Rautahat 1,US,"माधव कुमार नेपाल",64009,0.103111,"https://en.wikipedia.org/wiki/Rautahat_1_constituency"
2,Rautahat,Rautahat 2,Independent,"किरण कुमार साह",64636,0.071075,"https://en.wikipedia.org/wiki/Rautahat_2_constituency"
2,Rautahat,Rautahat 3,Independent,"प्रभु साह",70935,0.102023,"https://en.wikipedia.org/wiki/Rautahat_3_constituency"
2,Rautahat,Rautahat 4,NC,"देव प्रसाद तिमलसेना",69970,0.108647,"https://en.wikipedia.org/wiki/Rautahat_4_constituency"
2,Saptari,Saptari 1,JSPN,"नवल किसोर साह सुडी",70235,0.05137,"https://en.wikipedia.org/wiki/Saptari_1_constituency"
2,Saptari,Saptari 2,JP,"चन्द्र कान्त राउत",60921,0.296499,"https://en.wikipedia.org/wiki/Saptari_2_constituency"
2,Saptari,Saptari 3,NC,"दिनेश कुमार यादव",66826,0.057852,"https://en.wikipedia.org/wiki/Saptari_3_constituency"
2,Saptari,Saptari 4,NC,"तेजु लाल चौधरी",63992,0.086167,"https://en.wikipedia.org/wiki/Saptari_4_constituency"
2,Sarlahi,Sarlahi 1,LSP,"राम प्रकाश चौधरी",71374,0.090145,"https://en.wikipedia.org/wiki/Sarlahi_1_constituency"
2,Sarlahi,Sarlahi 2,Maoist,"महिन्द्र राय यादव",70469,0.028537,"https://en.wikipedia.org/wiki/Sarlahi_2_constituency"
2,Sarlahi,Sarlahi 3,UML,"हरि प्रसाद उप्रेती",77199,0.009974,"https://en.wikipedia.org/wiki/Sarlahi_3_constituency"
2,Sarlahi,Sarlahi 4,Independent,"अमरेश कुमार सिह",69283,0.025461,"https://en.wikipedia.org/wiki/Sarlahi_4_constituency"
2,Siraha,Siraha 1,UML,"राम शंकर यादव",66106,0.03151,"https://en.wikipedia.org/wiki/Siraha_1_constituency"
2,Siraha,Siraha 2,JSPN,"राज किशोर यादव",67768,0.01697,"https://en.wikipedia.org/wiki/Siraha_2_constituency"
2,Siraha,Siraha 3,UML,"लिलानाथ श्रेष्ठ",69406,0.01703,"https://en.wikipedia.org/wiki/Siraha_3_constituency"
2,Siraha,Siraha 4,JSPN,"बिरेन्द्र प्रसाद महतो",60922,0.128164,"https://en.wikipedia.org/wiki/Siraha_4_constituency"
3,Bhaktapur,Bhaktapur 1,NMKP,"प्रेम सुवाल",71709,0.429416,"https://en.wikipedia.org/wiki/Bhaktapur_1_constituency"
3,Bhaktapur,Bhaktapur 2,NC,"दुर्लभ थापा क्षेत्री",63693,0.015025,"https://en.wikipedia.org/wiki/Bhaktapur_2_constituency"
3,Chitwan,Chitwan 1,RSP,"हरि ढकाल",91514,0.082873,"https://en.wikipedia.org/wiki/Chitwan_1_constituency"
3,Chitwan,Chitwan 2,RSP,"रबि लामिछाने",80753,0.424901,"https://en.wikipedia.org/wiki/Chitwan_2_constituency"
3,Chitwan,Chitwan 3,RPP,"विक्रम पाण्डे",89529,0.103162,"https://en.wikipedia.org/wiki/Chitwan_3_constituency"
3,Dhading,Dhading 1,US,"राजेन्द्र प्रसाद पाण्डे",77935,0.102919,"https://en.wikipedia.org/wiki/Dhading_1_constituency"
3,Dhading,Dhading 2,NC,"रामनाथ अधिकारी",66369,0.158899,"https://en.wikipedia.org/wiki/Dhading_2_constituency"
3,Dolakha,Dolakha 1,Maoist,"ग‌ंगा कार्की",81023,0.003888,"https://en.wikipedia.org/wiki/Dolakha_1_constituency"
3,Kathmandu,Kathmandu 1,NC,"प्रकाश मान सिंह",26166,0.004777,"https://en.wikipedia.org/wiki/Kathmandu_1_constituency"
3,Kathmandu,Kathmandu 2,RSP,"सोविता गौतम",50817,0.072259,"https://en.wikipedia.org/wiki/Kathmandu_2_constituency"
3,Kathmandu,Kathmandu 3,NC,"सन्तोष चालिसे",37319,0.106166,"https://en.wikipedia.org/wiki/Kathmandu_3_constituency"
